"Cue","Letter","Position","Delay","Congruency"
"DodgerBlue","T",6,1,1
"DodgerBlue","T",-6,33,0
"DodgerBlue","T",-6,26,0
"Orange","T",6,33,0
"Orange","T",-6,33,1
"Orange","T",6,46,0
"Orange","T",6,35,0
"DodgerBlue","T",-6,48,0
"DodgerBlue","T",-6,1,0
"DodgerBlue","T",-6,36,0
"DodgerBlue","T",-6,42,0
"DodgerBlue","T",-6,48,0
"DodgerBlue","T",-6,36,0
"DodgerBlue","T",-6,31,0
"DodgerBlue","T",-6,34,0
"DodgerBlue","T",-6,45,0
"Orange","T",6,47,0
"Orange","T",6,31,0
"DodgerBlue","T",-6,42,0
"Orange","T",6,34,0
"Orange","T",6,30,0
"DodgerBlue","T",-6,35,0
"DodgerBlue","T",6,32,1
"DodgerBlue","T",-6,42,0
"Orange","T",6,38,0
"DodgerBlue","T",-6,48,0
"Orange","T",6,44,0
"DodgerBlue","T",-6,38,0
"Orange","T",6,25,0
"Orange","T",6,33,0
"Orange","T",6,1,0
"Orange","T",6,1,0
"DodgerBlue","T",-6,32,0
"Orange","T",6,26,0
"DodgerBlue","T",6,28,1
"Orange","T",6,26,0
"Orange","T",-6,31,1
"Orange","T",6,40,0
"Orange","T",-6,38,1
"Orange","T",-6,36,1
"DodgerBlue","T",-6,40,0
"DodgerBlue","T",-6,42,0
"Orange","T",6,1,0
"Orange","T",-6,34,1
"Orange","T",6,37,0
"DodgerBlue","T",6,41,1
"Orange","T",6,40,0
"DodgerBlue","T",-6,29,0
"DodgerBlue","T",-6,38,0
"DodgerBlue","T",6,38,1
"Orange","T",6,43,0
"Orange","T",6,35,0
"DodgerBlue","T",-6,25,0
"Orange","T",6,41,0
"DodgerBlue","T",6,1,1
"Orange","T",6,30,0
"DodgerBlue","T",-6,31,0
"Orange","T",6,44,0
"DodgerBlue","T",-6,31,0
"DodgerBlue","T",-6,1,0
"DodgerBlue","T",-6,43,0
"DodgerBlue","T",-6,46,0
"DodgerBlue","T",-6,34,0
"DodgerBlue","T",-6,47,0
"Orange","T",6,35,0
"Orange","T",6,1,0
"DodgerBlue","T",-6,34,0
"DodgerBlue","T",6,45,1
"DodgerBlue","T",-6,35,0
"DodgerBlue","T",-6,38,0
"DodgerBlue","T",-6,37,0
"Orange","T",6,37,0
"DodgerBlue","T",6,28,1
"Orange","T",6,37,0
"Orange","T",6,46,0
